policy_ref,coverholder_id,coverholder_name,inception_date,expiry_date,class_of_business,insured_name,postcode,premium,sum_insured,underwriting_year,bound_month
POL-CH003-00036,CH003,Fortis Professional Risks,2024-01-26,2025-01-26,Professional Indemnity,Gardiner Group,DY6W 3AU,8081,414076,2024,2024-01
POL-CH003-00037,CH003,Fortis Professional Risks,2024-01-28,2025-01-28,Professional Indemnity,"Patterson, Phillips and Stone",B8 2UB,6856,1226114,2024,2024-01
POL-CH003-00038,CH003,Fortis Professional Risks,2024-01-01,2025-01-01,Professional Indemnity,Rose Group,L2J 4BS,5006,1227528,2024,2024-01
POL-CH003-00039,CH003,Fortis Professional Risks,2024-01-25,2025-01-25,Professional Indemnity,"Watkins, Hicks and Harding",E1H 4NG,2220,1134098,2024,2024-01
POL-CH003-00040,CH003,Fortis Professional Risks,2024-01-26,2025-01-26,Professional Indemnity,Ryan-Ali,DA79 0LA,6089,1643368,2024,2024-01
POL-CH003-00041,CH003,Fortis Professional Risks,2024-01-06,2025-01-06,Professional Indemnity,"Singh, Martin and Martin",G7 2SJ,4644,957451,2024,2024-01
POL-CH003-00042,CH003,Fortis Professional Risks,2024-01-23,2025-01-23,Professional Indemnity,"Wilkinson, Watts and Clarke",CV4Y 3XB,4672,1474620,2024,2024-01
POL-CH003-00043,CH003,Fortis Professional Risks,2024-01-14,2025-01-14,Professional Indemnity,"Davies, Buckley and Jarvis",G4 4WJ,6042,1041071,2024,2024-01
POL-CH004-00044,CH004,Southgate Property Partners,2024-01-11,2025-01-11,Commercial Property,Jones and Sons,KT1 6PT,1852,496864,2024,2024-01
POL-CH004-00045,CH004,Southgate Property Partners,2024-01-04,2025-01-04,Commercial Property,Gallagher-Byrne,EC1 6OY,1420,367233,2024,2024-01
POL-CH004-00046,CH004,Southgate Property Partners,2024-01-28,2025-01-28,Commercial Property,"Harris, Bray and McCarthy",RG1 1ZK,1588,253648,2024,2024-01
POL-CH004-00047,CH004,Southgate Property Partners,2024-01-24,2025-01-24,Commercial Property,"Stokes, Williams and Nash",BN1 7NZ,1959,426105,2024,2024-01
POL-CH004-00048,CH004,Southgate Property Partners,2024-01-03,2025-01-03,Commercial Property,Lawson-Anderson,BR1 4LX,1802,376541,2024,2024-01
POL-CH004-00049,CH004,Southgate Property Partners,2024-01-23,2025-01-23,Commercial Property,"Norton, Smith and Khan",L2 5VK,1035,357935,2024,2024-01
POL-CH004-00050,CH004,Southgate Property Partners,2024-01-03,2025-01-03,Commercial Property,"Wells, Lane and Davison",EC1 7AN,1614,319772,2024,2024-01
POL-CH004-00051,CH004,Southgate Property Partners,2024-01-09,2025-01-09,Commercial Property,"Smart, Andrews and Brookes",BR1 3HU,1712,440405,2024,2024-01
POL-CH004-00052,CH004,Southgate Property Partners,2024-01-12,2025-01-12,Commercial Property,Shah Group,OX1 2RO,2818,417457,2024,2024-01
POL-CH004-00053,CH004,Southgate Property Partners,2024-01-20,2025-01-20,Commercial Property,"Godfrey, Humphreys and Ward",SL1 3HZ,1939,392555,2024,2024-01
POL-CH004-00054,CH004,Southgate Property Partners,2024-01-15,2025-01-15,Commercial Property,Ellis PLC,SM1 6DE,763,397348,2024,2024-01
POL-CH004-00055,CH004,Southgate Property Partners,2024-01-27,2025-01-27,Commercial Property,Mitchell Group,SW1 4SO,1832,646324,2024,2024-01
POL-CH005-00056,CH005,Ironclad Construction Risks,2024-01-27,2025-01-27,EL/PL Liability,Day-Dennis,LE9X 8DE,2835,594793,2024,2024-01
POL-CH005-00057,CH005,Ironclad Construction Risks,2024-01-02,2025-01-02,EL/PL Liability,Robson Ltd,NW8P 8GF,1688,771423,2024,2024-01
POL-CH005-00058,CH005,Ironclad Construction Risks,2024-01-26,2025-01-26,EL/PL Liability,"Reynolds, Davies and Smith",SK8 2JJ,3186,718654,2024,2024-01
POL-CH005-00059,CH005,Ironclad Construction Risks,2024-01-11,2025-01-11,EL/PL Liability,Kerr and Sons,E31 8NU,1890,810419,2024,2024-01
POL-CH005-00060,CH005,Ironclad Construction Risks,2024-01-13,2025-01-13,EL/PL Liability,"Griffiths, Kelly and Dennis",CV7 1YN,1506,688028,2024,2024-01
POL-CH005-00061,CH005,Ironclad Construction Risks,2024-01-09,2025-01-09,EL/PL Liability,Khan-Jones,CO45 6ND,4308,451419,2024,2024-01
POL-CH005-00062,CH005,Ironclad Construction Risks,2024-01-03,2025-01-03,EL/PL Liability,"Watson, Cooper and James",N10 2UW,2158,614947,2024,2024-01
POL-CH005-00063,CH005,Ironclad Construction Risks,2024-01-07,2025-01-07,EL/PL Liability,Robinson Group,SG8N 9BP,2207,367400,2024,2024-01
POL-CH001-00064,CH001,Avonbridge Underwriting,2024-02-19,2025-02-19,Commercial Property,Jones and Sons,OX5E 8XY,2861,950638,2024,2024-02
POL-CH001-00065,CH001,Avonbridge Underwriting,2024-02-23,2025-02-23,Commercial Property,Warner Ltd,L5D 1TL,3041,1179361,2024,2024-02
POL-CH001-00066,CH001,Avonbridge Underwriting,2024-02-11,2025-02-11,Commercial Property,"Hamilton, Sullivan and Jones",RM3 4PQ,3213,781561,2024,2024-02
POL-CH001-00067,CH001,Avonbridge Underwriting,2024-02-07,2025-02-07,Commercial Property,Singh-Johnson,TR9R 0SS,5225,588441,2024,2024-02
POL-CH001-00068,CH001,Avonbridge Underwriting,2024-02-21,2025-02-21,Commercial Property,Jones Group,WV69 2WD,4486,1127767,2024,2024-02
POL-CH001-00069,CH001,Avonbridge Underwriting,2024-02-16,2025-02-16,Commercial Property,"Spencer, Dickinson and Akhtar",M7 9QR,2174,889234,2024,2024-02
POL-CH001-00070,CH001,Avonbridge Underwriting,2024-02-13,2025-02-13,Commercial Property,"Brown, Roberts and Ali",L90 6QE,4527,1016137,2024,2024-02
POL-CH001-00071,CH001,Avonbridge Underwriting,2024-02-21,2025-02-21,Commercial Property,Sharp Inc,E0 8PY,2641,569402,2024,2024-02
POL-CH001-00072,CH001,Avonbridge Underwriting,2024-02-15,2025-02-15,Commercial Property,"Davis, Carey and Cox",G32 2WW,4857,913109,2024,2024-02
POL-CH001-00073,CH001,Avonbridge Underwriting,2024-02-05,2025-02-05,Commercial Property,Hunter PLC,S4 7DN,4515,923620,2024,2024-02
POL-CH001-00074,CH001,Avonbridge Underwriting,2024-02-09,2025-02-09,Commercial Property,Williamson-Fowler,DY0A 3FF,3343,899353,2024,2024-02
POL-CH001-00075,CH001,Avonbridge Underwriting,2024-02-05,2025-02-05,Commercial Property,Knight Ltd,S3G 3NS,4569,698200,2024,2024-02
POL-CH001-00076,CH001,Avonbridge Underwriting,2024-02-08,2025-02-08,Commercial Property,Sheppard-Leach,M9 1JJ,6550,950689,2024,2024-02
POL-CH001-00077,CH001,Avonbridge Underwriting,2024-02-24,2025-02-24,Commercial Property,Williams PLC,OL5 8XH,2698,989517,2024,2024-02
POL-CH001-00078,CH001,Avonbridge Underwriting,2024-02-18,2025-02-18,Commercial Property,"Thompson, Palmer and Thomas",SM1 1WJ,2971,1017255,2024,2024-02
POL-CH001-00079,CH001,Avonbridge Underwriting,2024-02-18,2025-02-18,Commercial Property,Mistry and Sons,G0 7UR,5659,675605,2024,2024-02
POL-CH001-00080,CH001,Avonbridge Underwriting,2024-02-09,2025-02-09,Commercial Property,"Nicholls, Davis and Riley",W5U 7UW,5413,937715,2024,2024-02
POL-CH001-00081,CH001,Avonbridge Underwriting,2024-02-24,2025-02-24,Commercial Property,Marsh LLC,S8 3JY,5235,1253068,2024,2024-02
POL-CH002-00082,CH002,Meridian Risk Solutions,2024-02-19,2025-02-19,EL/PL Liability,Baldwin-Smith,E39 1XR,2399,388810,2024,2024-02
POL-CH002-00083,CH002,Meridian Risk Solutions,2024-02-14,2025-02-14,EL/PL Liability,Cook Ltd,NE2X 9QS,2341,490362,2024,2024-02
POL-CH002-00084,CH002,Meridian Risk Solutions,2024-02-19,2025-02-19,EL/PL Liability,"Bird, Evans and Smith",EH5H 7BS,3417,534586,2024,2024-02
POL-CH002-00085,CH002,Meridian Risk Solutions,2024-02-13,2025-02-13,EL/PL Liability,"Williams, Gregory and Jones",B08 3PW,3869,501625,2024,2024-02
POL-CH002-00086,CH002,Meridian Risk Solutions,2024-02-12,2025-02-12,EL/PL Liability,Hall Group,NE2N 2DW,4451,466917,2024,2024-02
POL-CH002-00087,CH002,Meridian Risk Solutions,2024-02-08,2025-02-08,EL/PL Liability,"Holt, Turner and Pearce",CV58 8FH,5629,578208,2024,2024-02
POL-CH002-00088,CH002,Meridian Risk Solutions,2024-02-05,2025-02-05,EL/PL Liability,Ford PLC,N84 6YP,2302,366138,2024,2024-02
POL-CH002-00089,CH002,Meridian Risk Solutions,2024-02-17,2025-02-17,EL/PL Liability,Morrison Ltd,TR3 1ZW,3548,472067,2024,2024-02
POL-CH002-00090,CH002,Meridian Risk Solutions,2024-02-16,2025-02-16,EL/PL Liability,"Marshall, Jordan and Reeves",BD1H 5SR,3764,559154,2024,2024-02
POL-CH002-00091,CH002,Meridian Risk Solutions,2024-02-03,2025-02-03,EL/PL Liability,Dunn-Harris,KA81 4BE,3032,394150,2024,2024-02
POL-CH002-00092,CH002,Meridian Risk Solutions,2024-02-25,2025-02-25,EL/PL Liability,"Hughes, Cross and Cook",GU5 1HH,1691,444185,2024,2024-02
POL-CH002-00093,CH002,Meridian Risk Solutions,2024-02-02,2025-02-02,EL/PL Liability,Mason-Jones,E0 0LR,3896,526761,2024,2024-02
POL-CH002-00094,CH002,Meridian Risk Solutions,2024-02-28,2025-02-28,EL/PL Liability,"Banks, Khan and Douglas",G41 9GB,1941,521647,2024,2024-02
POL-CH003-00095,CH003,Fortis Professional Risks,2024-02-04,2025-02-04,Professional Indemnity,"Turnbull, Phillips and Miles",PO4H 8FB,4041,1246117,2024,2024-02
POL-CH003-00096,CH003,Fortis Professional Risks,2024-02-05,2025-02-05,Professional Indemnity,Thompson Ltd,W17 3XL,5596,857108,2024,2024-02
POL-CH003-00097,CH003,Fortis Professional Risks,2024-02-21,2025-02-21,Professional Indemnity,Fuller Group,CT0X 3EN,6090,1368235,2024,2024-02
POL-CH003-00098,CH003,Fortis Professional Risks,2024-02-06,2025-02-06,Professional Indemnity,"Reid, Williams and Williams",BN6 4LU,7287,1516140,2024,2024-02
POL-CH003-00099,CH003,Fortis Professional Risks,2024-02-26,2025-02-26,Professional Indemnity,Kelly LLC,B6 5FA,3226,918652,2024,2024-02
POL-CH003-00100,CH003,Fortis Professional Risks,2024-02-22,2025-02-22,Professional Indemnity,Harris and Sons,NR44 7NH,6349,1354135,2024,2024-02
POL-CH003-00101,CH003,Fortis Professional Risks,2024-02-14,2025-02-14,Professional Indemnity,"Barker, Shepherd and Allen",HU22 7GY,6349,2355819,2024,2024-02
POL-CH003-00102,CH003,Fortis Professional Risks,2024-02-20,2025-02-20,Professional Indemnity,"Watson, Browne and Nicholls",E9 1LG,6441,1540669,2024,2024-02
POL-CH003-00103,CH003,Fortis Professional Risks,2024-02-03,2025-02-03,Professional Indemnity,"Smith, Parry and Page",EH73 2NY,7074,1395417,2024,2024-02
POL-CH003-00104,CH003,Fortis Professional Risks,2024-02-13,2025-02-13,Professional Indemnity,Butler LLC,LL4 0WY,4979,1427690,2024,2024-02
POL-CH004-00105,CH004,Southgate Property Partners,2024-02-13,2025-02-13,Commercial Property,Hall Group,KT2 9BR,1672,351463,2024,2024-02
POL-CH004-00106,CH004,Southgate Property Partners,2024-02-09,2025-02-09,Commercial Property,Brown-O'Brien,SE1 2WU,1844,631465,2024,2024-02
POL-CH004-00107,CH004,Southgate Property Partners,2024-02-22,2025-02-22,Commercial Property,"Hardy, Phillips and Roberts",OX1 6ND,791,468626,2024,2024-02
POL-CH004-00108,CH004,Southgate Property Partners,2024-02-04,2025-02-04,Commercial Property,"Pritchard, Rose and James",TN1 8QL,929,352806,2024,2024-02
POL-CH004-00109,CH004,Southgate Property Partners,2024-02-01,2025-02-01,Commercial Property,Jones-Howarth,RG1 9UO,2388,406428,2024,2024-02
POL-CH004-00110,CH004,Southgate Property Partners,2024-02-25,2025-02-25,Commercial Property,Davies Inc,EC1 5RN,1218,328469,2024,2024-02
POL-CH004-00111,CH004,Southgate Property Partners,2024-02-27,2025-02-27,Commercial Property,"Hurst, Anderson and Burns",GU1 3OY,2166,326963,2024,2024-02
POL-CH004-00112,CH004,Southgate Property Partners,2024-02-12,2025-02-12,Commercial Property,Harrison-Richards,SE1 6HB,1916,404557,2024,2024-02
POL-CH004-00113,CH004,Southgate Property Partners,2024-02-16,2025-02-16,Commercial Property,Williamson-Hussain,NE2 5RC,1448,614394,2024,2024-02
POL-CH004-00114,CH004,Southgate Property Partners,2024-02-08,2025-02-08,Commercial Property,Johnson and Sons,PR1 2CM,2142,197485,2024,2024-02
POL-CH005-00115,CH005,Ironclad Construction Risks,2024-02-03,2025-02-03,EL/PL Liability,"Hussain, Hunt and Ward",L6U 7RG,2083,727865,2024,2024-02
POL-CH005-00116,CH005,Ironclad Construction Risks,2024-02-24,2025-02-24,EL/PL Liability,Fox LLC,SR0 9WT,1981,582789,2024,2024-02
POL-CH005-00117,CH005,Ironclad Construction Risks,2024-02-16,2025-02-16,EL/PL Liability,Thompson-Hutchinson,CV57 0UT,2993,729863,2024,2024-02
POL-CH005-00118,CH005,Ironclad Construction Risks,2024-02-27,2025-02-27,EL/PL Liability,Pickering-Wallace,WS64 9YN,1663,549824,2024,2024-02
POL-CH005-00119,CH005,Ironclad Construction Risks,2024-02-03,2025-02-03,EL/PL Liability,"Clark, Wallace and Stokes",W5 0UY,2229,502000,2024,2024-02
POL-CH005-00120,CH005,Ironclad Construction Risks,2024-02-25,2025-02-25,EL/PL Liability,Kent Inc,SL8A 6PF,3977,660747,2024,2024-02
POL-CH005-00121,CH005,Ironclad Construction Risks,2024-02-18,2025-02-18,EL/PL Liability,Knight and Sons,KY4M 5XX,1616,737679,2024,2024-02
POL-CH005-00122,CH005,Ironclad Construction Risks,2024-02-25,2025-02-25,EL/PL Liability,Green LLC,BH9M 8UZ,4255,754869,2024,2024-02
POL-CH005-00123,CH005,Ironclad Construction Risks,2024-02-05,2025-02-05,EL/PL Liability,Smith Inc,SM2 4DT,1414,527364,2024,2024-02
POL-CH001-00124,CH001,Avonbridge Underwriting,2024-03-05,2025-03-05,Commercial Property,Patterson-Jackson,N56 6BW,3308,944311,2024,2024-03
POL-CH001-00125,CH001,Avonbridge Underwriting,2024-03-22,2025-03-22,Commercial Property,Nash-Moss,BH2R 2ED,5176,653027,2024,2024-03
POL-CH001-00126,CH001,Avonbridge Underwriting,2024-03-16,2025-03-16,Commercial Property,"Walsh, Sutton and Waters",W99 7PN,4124,161230,2024,2024-03
POL-CH001-00127,CH001,Avonbridge Underwriting,2024-03-18,2025-03-18,Commercial Property,Brown-Stone,G7G 5WR,2909,796329,2024,2024-03
POL-CH001-00128,CH001,Avonbridge Underwriting,2024-03-06,2025-03-06,Commercial Property,Carter-Sullivan,IM1Y 9DX,2627,1196887,2024,2024-03
POL-CH001-00129,CH001,Avonbridge Underwriting,2024-03-09,2025-03-09,Commercial Property,"Sykes, Norton and Evans",CM4X 1BY,2398,756490,2024,2024-03
POL-CH001-00130,CH001,Avonbridge Underwriting,2024-03-17,2025-03-17,Commercial Property,Morris Ltd,LD43 1RJ,4364,1156270,2024,2024-03
POL-CH001-00131,CH001,Avonbridge Underwriting,2024-03-28,2025-03-28,Commercial Property,Mitchell and Sons,SW7H 0LG,2390,1097172,2024,2024-03
POL-CH001-00132,CH001,Avonbridge Underwriting,2024-03-20,2025-03-20,Commercial Property,"Osborne, O'Neill and Carter",S8H 9PF,4212,641429,2024,2024-03
POL-CH001-00133,CH001,Avonbridge Underwriting,2024-03-14,2025-03-14,Commercial Property,"Hartley, Robinson and Gray",M0U 2YY,4782,892300,2024,2024-03
POL-CH001-00134,CH001,Avonbridge Underwriting,2024-03-07,2025-03-07,Commercial Property,Knowles-Benson,W15 6JF,3443,864832,2024,2024-03
POL-CH001-00135,CH001,Avonbridge Underwriting,2024-03-18,2025-03-18,Commercial Property,Griffiths LLC,YO8 0FR,3714,874122,2024,2024-03
POL-CH001-00136,CH001,Avonbridge Underwriting,2024-03-25,2025-03-25,Commercial Property,Jones-Gallagher,E1 9HY,5034,1187028,2024,2024-03
POL-CH001-00137,CH001,Avonbridge Underwriting,2024-03-24,2025-03-24,Commercial Property,Bevan-Humphreys,SW4H 1TT,2640,1303269,2024,2024-03
POL-CH001-00138,CH001,Avonbridge Underwriting,2024-03-23,2025-03-23,Commercial Property,Ali-Stone,W0G 2EF,1740,817745,2024,2024-03
POL-CH001-00139,CH001,Avonbridge Underwriting,2024-03-07,2025-03-07,Commercial Property,Wright-Grant,E3 2QN,4941,909710,2024,2024-03
POL-CH001-00140,CH001,Avonbridge Underwriting,2024-03-23,2025-03-23,Commercial Property,Lucas PLC,L25 1GW,3415,805774,2024,2024-03
POL-CH001-00141,CH001,Avonbridge Underwriting,2024-03-10,2025-03-10,Commercial Property,Faulkner-Cole,PO19 9GG,3578,724759,2024,2024-03
POL-CH001-00142,CH001,Avonbridge Underwriting,2024-03-13,2025-03-13,Commercial Property,Ward LLC,EN17 7DG,5270,925865,2024,2024-03
POL-CH001-00143,CH001,Avonbridge Underwriting,2024-03-22,2025-03-22,Commercial Property,Miller-Smith,W1B 1HD,3326,1041164,2024,2024-03
POL-CH001-00144,CH001,Avonbridge Underwriting,2024-03-21,2025-03-21,Commercial Property,Payne-Collins,N4 6GW,4587,1022733,2024,2024-03
POL-CH002-00145,CH002,Meridian Risk Solutions,2024-03-12,2025-03-12,EL/PL Liability,Miller Group,E1J 7ZW,2329,429977,2024,2024-03
POL-CH002-00146,CH002,Meridian Risk Solutions,2024-03-15,2025-03-15,EL/PL Liability,Sanderson Inc,TF7 3UN,3794,576296,2024,2024-03
POL-CH002-00147,CH002,Meridian Risk Solutions,2024-03-17,2025-03-17,EL/PL Liability,Stevenson-Knight,SY7 0DY,3080,514665,2024,2024-03
POL-CH002-00148,CH002,Meridian Risk Solutions,2024-03-15,2025-03-15,EL/PL Liability,"Martin, Day and Taylor",L9T 2TR,4288,426053,2024,2024-03
POL-CH002-00149,CH002,Meridian Risk Solutions,2024-03-04,2025-03-04,EL/PL Liability,Frost and Sons,DA3E 5AT,3608,474725,2024,2024-03
POL-CH002-00150,CH002,Meridian Risk Solutions,2024-03-08,2025-03-08,EL/PL Liability,Oliver-Allen,W3 6ZS,2897,637347,2024,2024-03
POL-CH002-00151,CH002,Meridian Risk Solutions,2024-03-08,2025-03-08,EL/PL Liability,"Smith, Blake and Richardson",SY25 9WD,3867,601688,2024,2024-03
POL-CH002-00152,CH002,Meridian Risk Solutions,2024-03-03,2025-03-03,EL/PL Liability,Mills Inc,SM55 9DS,4314,502625,2024,2024-03
POL-CH002-00153,CH002,Meridian Risk Solutions,2024-03-11,2025-03-11,EL/PL Liability,Watts and Sons,B4 9FE,3734,461216,2024,2024-03
POL-CH002-00154,CH002,Meridian Risk Solutions,2024-03-01,2025-03-01,EL/PL Liability,Taylor-Fuller,BT01 5PX,3401,483732,2024,2024-03
POL-CH002-00155,CH002,Meridian Risk Solutions,2024-03-19,2025-03-19,EL/PL Liability,"Williams, Cooper and Vaughan",WR4 3ES,3190,574394,2024,2024-03
POL-CH002-00156,CH002,Meridian Risk Solutions,2024-03-18,2025-03-18,EL/PL Liability,Simpson LLC,B0J 9BS,2339,761548,2024,2024-03
POL-CH002-00157,CH002,Meridian Risk Solutions,2024-03-08,2025-03-08,EL/PL Liability,Wilson and Sons,M6 5DL,2164,348226,2024,2024-03
POL-CH002-00158,CH002,Meridian Risk Solutions,2024-03-19,2025-03-19,EL/PL Liability,"Austin, Miller and Gordon",E8E 3NJ,4177,598957,2024,2024-03
POL-CH002-00159,CH002,Meridian Risk Solutions,2024-03-08,2025-03-08,EL/PL Liability,"Nicholls, Taylor and Patterson",M05 2RJ,3680,578543,2024,2024-03
POL-CH003-00160,CH003,Fortis Professional Risks,2024-03-01,2025-03-01,Professional Indemnity,Brown and Sons,PO7E 5HA,4019,1222741,2024,2024-03
POL-CH003-00161,CH003,Fortis Professional Risks,2024-03-03,2025-03-03,Professional Indemnity,Evans-Harris,SA7Y 4GW,4382,1492535,2024,2024-03
POL-CH003-00162,CH003,Fortis Professional Risks,2024-03-23,2025-03-23,Professional Indemnity,Ali-Frost,WA02 8BL,5257,952350,2024,2024-03
POL-CH003-00163,CH003,Fortis Professional Risks,2024-03-21,2025-03-21,Professional Indemnity,"Rhodes, Yates and Dixon",B87 2TZ,4969,1323879,2024,2024-03
POL-CH003-00164,CH003,Fortis Professional Risks,2024-03-02,2025-03-02,Professional Indemnity,"Pugh, Williams and Williams",W5 7DH,4569,953333,2024,2024-03
POL-CH003-00165,CH003,Fortis Professional Risks,2024-03-08,2025-03-08,Professional Indemnity,"Nicholson, Connolly and Reeves",CO3 0NT,5902,1273489,2024,2024-03
POL-CH003-00166,CH003,Fortis Professional Risks,2024-03-03,2025-03-03,Professional Indemnity,Brooks LLC,SS3 9DE,4663,1058688,2024,2024-03
POL-CH003-00167,CH003,Fortis Professional Risks,2024-03-02,2025-03-02,Professional Indemnity,Bond-Farrell,IP5 0AZ,5882,765574,2024,2024-03
POL-CH003-00168,CH003,Fortis Professional Risks,2024-03-28,2025-03-28,Professional Indemnity,Stephens Inc,L5T 8FW,3177,984466,2024,2024-03
POL-CH004-00169,CH004,Southgate Property Partners,2024-03-11,2025-03-11,Commercial Property,Turner LLC,L2 5HP,1967,547535,2024,2024-03
POL-CH004-00170,CH004,Southgate Property Partners,2024-03-22,2025-03-22,Commercial Property,"Oliver, Robinson and Rees",CT1 8UF,2263,384006,2024,2024-03
POL-CH004-00171,CH004,Southgate Property Partners,2024-03-08,2025-03-08,Commercial Property,Ellis LLC,EN1 4JK,1789,299747,2024,2024-03
POL-CH004-00172,CH004,Southgate Property Partners,2024-03-04,2025-03-04,Commercial Property,James-Roberts,HA1 6CY,1790,371134,2024,2024-03
