policy_ref,coverholder_id,coverholder_name,insured_name,postcode,inception_date,premium,bound_month,is_breach
POL-CH004-00485,CH004,Southgate Property Partners,Rogers and Sons,BN1 1CZ,2024-08-23,2142.00,2024-08,f
POL-CH004-00484,CH004,Southgate Property Partners,Joyce PLC,SL1 2JH,2024-08-23,2012.00,2024-08,f
POL-CH004-00483,CH004,Southgate Property Partners,Parry-Barker,CR0 7SQ,2024-08-19,1450.00,2024-08,f
POL-CH004-00482,CH004,Southgate Property Partners,Barton Inc,SE10 5UA,2024-08-10,2299.00,2024-08,f
POL-CH004-00481,CH004,Southgate Property Partners,Walton Group,BN1 3CL,2024-08-20,2109.00,2024-08,f
POL-CH004-00480,CH004,Southgate Property Partners,Phillips LLC,BR1 3KI,2024-08-15,2146.00,2024-08,f
POL-CH004-00479,CH004,Southgate Property Partners,Stevenson-Collins,BN1 4ST,2024-08-05,1648.00,2024-08,f
POL-CH004-00477,CH004,Southgate Property Partners,"Miah, Ward and Blackburn",SL1 4MU,2024-08-02,697.00,2024-08,f
POL-CH004-00542,CH004,Southgate Property Partners,"Williams, Williamson and Harris",UB1 9NY,2024-09-08,1963.00,2024-09,f
POL-CH004-00543,CH004,Southgate Property Partners,"Booth, Moore and Gibson",TW1 8DY,2024-09-25,1765.00,2024-09,f
POL-CH004-00544,CH004,Southgate Property Partners,"Burgess, Miller and Smith",E1 5NA,2024-09-15,1973.00,2024-09,f
POL-CH004-00545,CH004,Southgate Property Partners,Williams Inc,SL1 5MJ,2024-09-08,2671.00,2024-09,f
POL-CH004-00546,CH004,Southgate Property Partners,McCarthy-Gibson,TW1 9QN,2024-09-22,1668.00,2024-09,f
POL-CH004-00547,CH004,Southgate Property Partners,Forster-Conway,CM1 6PE,2024-09-17,2442.00,2024-09,f
POL-CH004-00548,CH004,Southgate Property Partners,Morris-Carter,AL1 5WK,2024-09-23,2122.00,2024-09,f
POL-CH004-00549,CH004,Southgate Property Partners,Williams Group,GU1 6OY,2024-09-08,1639.00,2024-09,f
POL-CH004-00597,CH004,Southgate Property Partners,"Gregory, Moss and Gibson",TW1 2QV,2024-10-09,1690.00,2024-10,f
POL-CH004-00596,CH004,Southgate Property Partners,"Whitehouse, Clark and Hall",RH1 1ZI,2024-10-16,2679.00,2024-10,f
POL-CH004-00599,CH004,Southgate Property Partners,"Murphy, Adams and Little",SW1 3KC,2024-10-19,1139.00,2024-10,f
POL-CH004-00600,CH004,Southgate Property Partners,"Pope, Carroll and Douglas",AL1 2AQ,2024-10-05,1384.00,2024-10,f
POL-CH004-00601,CH004,Southgate Property Partners,Smith Group,EN1 4ED,2024-10-08,959.00,2024-10,f
POL-CH004-00602,CH004,Southgate Property Partners,Preston-Hughes,IG1 8JL,2024-10-25,2250.00,2024-10,f
POL-CH004-00603,CH004,Southgate Property Partners,Green PLC,HA1 5HZ,2024-10-10,2001.00,2024-10,f
POL-CH004-00604,CH004,Southgate Property Partners,"Baker, Lane and Jones",EC1 4JJ,2024-10-19,1146.00,2024-10,f
POL-CH004-00605,CH004,Southgate Property Partners,Roberts Ltd,E1 3DN,2024-10-21,2026.00,2024-10,f
POL-CH004-00606,CH004,Southgate Property Partners,"Burke, Hobbs and Carter",SW6 3EB,2024-10-08,1769.00,2024-10,f
POL-CH004-00607,CH004,Southgate Property Partners,"Berry, Hunter and Pearce",TW1 5QM,2024-10-01,1841.00,2024-10,f
POL-CH004-00608,CH004,Southgate Property Partners,"Taylor, Fisher and Mitchell",HP1 8OA,2024-10-02,1302.00,2024-10,f
POL-CH004-00663,CH004,Southgate Property Partners,Anderson-Talbot,CM1 6PW,2024-11-16,1472.00,2024-11,f
POL-CH004-00659,CH004,Southgate Property Partners,Holt-Parker,OX1 1OM,2024-11-25,1706.00,2024-11,f
POL-CH004-00667,CH004,Southgate Property Partners,Barton-O'Connor,SG1 2EF,2024-11-03,2502.00,2024-11,f
POL-CH004-00666,CH004,Southgate Property Partners,"Peacock, Fuller and Lee",SE15 8VT,2024-11-27,2200.00,2024-11,f
POL-CH004-00660,CH004,Southgate Property Partners,"James, Taylor and Khan",TW1 9PE,2024-11-25,1059.00,2024-11,f
POL-CH004-00665,CH004,Southgate Property Partners,Sheppard-King,HP1 7XY,2024-11-14,2964.00,2024-11,f
POL-CH004-00661,CH004,Southgate Property Partners,"Garner, Gill and Johnson",OX1 3CE,2024-11-21,2594.00,2024-11,f
POL-CH004-00664,CH004,Southgate Property Partners,Bailey LLC,TN1 6PK,2024-11-22,2166.00,2024-11,f
POL-CH004-00662,CH004,Southgate Property Partners,Dale and Sons,UB1 2RO,2024-11-19,1438.00,2024-11,f
POL-CH004-00724,CH004,Southgate Property Partners,"Kennedy, Morgan and Williams",CR0 4GP,2024-12-15,1555.00,2024-12,f
POL-CH004-00725,CH004,Southgate Property Partners,Murphy-Butcher,CT1 2IR,2024-12-20,2315.00,2024-12,f
POL-CH004-00726,CH004,Southgate Property Partners,"Young, Turner and Marsden",EN1 6ZP,2024-12-09,2597.00,2024-12,f
POL-CH004-00727,CH004,Southgate Property Partners,"Joyce, Bolton and Sutton",SE1 5BG,2024-12-26,1695.00,2024-12,f
POL-CH004-00730,CH004,Southgate Property Partners,Farrell-Fletcher,CR0 8JG,2024-12-18,2140.00,2024-12,f
POL-CH004-00723,CH004,Southgate Property Partners,Kemp Ltd,TW1 4CO,2024-12-27,1798.00,2024-12,f
POL-CH004-00722,CH004,Southgate Property Partners,Jones-Barlow,OX1 7VI,2024-12-10,1502.00,2024-12,f
POL-CH004-00729,CH004,Southgate Property Partners,Mahmood Group,SS1 6EI,2024-12-15,1734.00,2024-12,f
POL-CH004-00728,CH004,Southgate Property Partners,"Lawrence, Lloyd and Jones",UB1 3SR,2024-12-24,792.00,2024-12,f
POL-CH004-00731,CH004,Southgate Property Partners,Gibson-Marsden,SL1 7XT,2024-12-11,2801.00,2024-12,f
POL-CH004-00732,CH004,Southgate Property Partners,"White, Stewart and Pearce",EN1 1LL,2024-12-08,2114.00,2024-12,f
POL-CH004-00733,CH004,Southgate Property Partners,"Craig, Lord and Johnson",CR0 7WP,2024-12-11,1281.00,2024-12,f
POL-CH004-00734,CH004,Southgate Property Partners,Slater-Saunders,ME1 8IV,2024-12-22,2387.00,2024-12,f
POL-CH004-00805,CH004,Southgate Property Partners,"Hutchinson, Murphy and Richards",AL1 4BS,2025-01-23,1588.00,2025-01,f
POL-CH004-00795,CH004,Southgate Property Partners,"Wood, Charlton and Carpenter",AL1 1BB,2025-01-04,1904.00,2025-01,f
POL-CH004-00796,CH004,Southgate Property Partners,Turnbull and Sons,SW1 5WC,2025-01-02,1982.00,2025-01,f
POL-CH004-00797,CH004,Southgate Property Partners,Gilbert Group,ME1 4ZF,2025-01-12,1890.00,2025-01,f
POL-CH004-00798,CH004,Southgate Property Partners,"Gregory, Winter and Hawkins",RH1 3IM,2025-01-17,1256.00,2025-01,f
POL-CH004-00800,CH004,Southgate Property Partners,"Potter, White and Dunn",ME1 4OV,2025-01-16,654.00,2025-01,f
POL-CH004-00801,CH004,Southgate Property Partners,Hughes Ltd,KT2 5PQ,2025-01-15,2500.00,2025-01,f
POL-CH004-00803,CH004,Southgate Property Partners,Harris and Sons,SW6 8PF,2025-01-22,2253.00,2025-01,f
POL-CH004-00804,CH004,Southgate Property Partners,"Lee, Short and Jackson",AL1 7YX,2025-01-12,1670.00,2025-01,f
POL-CH004-00806,CH004,Southgate Property Partners,"Randall, Davies and Clark",EC1 4FG,2025-01-13,2672.00,2025-01,f
POL-CH004-00869,CH004,Southgate Property Partners,"Bryan, Edwards and Pearson",SW6 3QX,2025-02-26,944.00,2025-02,f
POL-CH004-00870,CH004,Southgate Property Partners,Shaw-Woods,DA1 9WA,2025-02-25,2074.00,2025-02,f
POL-CH004-00871,CH004,Southgate Property Partners,"Cross, Thompson and King",DA1 1NJ,2025-02-12,2283.00,2025-02,f
POL-CH004-00872,CH004,Southgate Property Partners,Lawrence LLC,KT2 6GF,2025-02-09,1879.00,2025-02,f
POL-CH004-00873,CH004,Southgate Property Partners,Walters-Cook,RG1 7UW,2025-02-22,2284.00,2025-02,f
POL-CH004-00874,CH004,Southgate Property Partners,Bishop PLC,BR1 2ZY,2025-02-27,1318.00,2025-02,f
POL-CH004-00875,CH004,Southgate Property Partners,Henry Group,SE10 9JL,2025-02-22,1411.00,2025-02,f
POL-CH004-00868,CH004,Southgate Property Partners,George-Glover,HP1 6RI,2025-02-27,982.00,2025-02,f
POL-CH004-00867,CH004,Southgate Property Partners,"Patterson, White and Daly",TN1 5KL,2025-02-17,1767.00,2025-02,f
POL-CH004-00866,CH004,Southgate Property Partners,"Cook, Collins and Martin",BR1 9YB,2025-02-05,1811.00,2025-02,f
POL-CH004-00865,CH004,Southgate Property Partners,"Allen, Smith and Benson",RH1 4PI,2025-02-11,1370.00,2025-02,f
POL-CH004-00935,CH004,Southgate Property Partners,"Harris, Cooke and Barry",KT1 4FO,2025-03-03,1945.00,2025-03,f
POL-CH004-00931,CH004,Southgate Property Partners,Mitchell-Collins,SS1 1XU,2025-03-18,3227.00,2025-03,f
POL-CH004-00932,CH004,Southgate Property Partners,Begum-Turner,BN1 8RY,2025-03-13,1937.00,2025-03,f
POL-CH004-00933,CH004,Southgate Property Partners,Holmes-Jones,SE10 1KP,2025-03-03,2386.00,2025-03,f
POL-CH004-00934,CH004,Southgate Property Partners,"Patel, Parry and Simpson",CT1 4JE,2025-03-26,1966.00,2025-03,f
POL-CH004-00936,CH004,Southgate Property Partners,Dawson LLC,CM1 3CD,2025-03-27,2135.00,2025-03,f
POL-CH004-00937,CH004,Southgate Property Partners,"Jones, Smith and Hawkins",SE1 5ZZ,2025-03-26,2003.00,2025-03,f
POL-CH004-00938,CH004,Southgate Property Partners,Bradley-Thomas,CT1 9UD,2025-03-28,2408.00,2025-03,f
POL-CH004-00939,CH004,Southgate Property Partners,"Jones, Page and Black",BN1 1NN,2025-03-09,842.00,2025-03,f
POL-CH004-00941,CH004,Southgate Property Partners,"Marsh, Page and Morris",SW1 3FP,2025-03-01,1478.00,2025-03,f
POL-CH004-01000,CH004,Southgate Property Partners,Brown Ltd,EN1 2FQ,2025-04-27,2450.00,2025-04,f
POL-CH004-01001,CH004,Southgate Property Partners,White-Smith,RG1 6TR,2025-04-11,1556.00,2025-04,f
POL-CH004-01002,CH004,Southgate Property Partners,Bell-Green,TW1 2EG,2025-04-05,2124.00,2025-04,f
POL-CH004-01003,CH004,Southgate Property Partners,Wheeler Inc,E1 7WC,2025-04-03,560.00,2025-04,f
POL-CH004-01004,CH004,Southgate Property Partners,Davison and Sons,BR1 3CL,2025-04-04,1140.00,2025-04,f
POL-CH004-00999,CH004,Southgate Property Partners,Sykes-Miah,EN1 6XK,2025-04-15,1629.00,2025-04,f
POL-CH004-01006,CH004,Southgate Property Partners,"Watts, Evans and Doherty",EN1 6OI,2025-04-11,2584.00,2025-04,f
POL-CH004-01007,CH004,Southgate Property Partners,"Wilkinson, Cooper and Johnston",HA1 1AG,2025-04-28,1962.00,2025-04,f
POL-CH004-01008,CH004,Southgate Property Partners,"Bartlett, Collins and Smith",SS1 2MO,2025-04-10,1185.00,2025-04,f
POL-CH004-01009,CH004,Southgate Property Partners,Lucas and Sons,ME1 8WI,2025-04-19,1759.00,2025-04,f
POL-CH004-00998,CH004,Southgate Property Partners,Holland PLC,KT1 7SO,2025-04-26,1906.00,2025-04,f
POL-CH004-00997,CH004,Southgate Property Partners,Rose-Harvey,HA1 2BJ,2025-04-15,2467.00,2025-04,f
POL-CH004-01061,CH004,Southgate Property Partners,"Cox, Collins and Green",E1 1GU,2025-05-10,1283.00,2025-05,f
POL-CH004-01062,CH004,Southgate Property Partners,Morris LLC,SW1 2SE,2025-05-05,2601.00,2025-05,f
POL-CH004-01063,CH004,Southgate Property Partners,Harrison and Sons,HA1 8JS,2025-05-09,1630.00,2025-05,f
POL-CH004-01064,CH004,Southgate Property Partners,"Turner, Smith and Gough",OX1 4WA,2025-05-20,1124.00,2025-05,f
POL-CH004-01065,CH004,Southgate Property Partners,Kennedy Group,SS1 7NS,2025-05-25,2276.00,2025-05,f
POL-CH004-01066,CH004,Southgate Property Partners,Khan-Woodward,UB1 9HQ,2025-05-04,1546.00,2025-05,f
POL-CH004-01067,CH004,Southgate Property Partners,Turner-Dobson,SM1 7MB,2025-05-22,1564.00,2025-05,f
POL-CH004-01069,CH004,Southgate Property Partners,"Ward, Bennett and Miller",RG1 5UK,2025-05-07,1606.00,2025-05,f
POL-CH004-01070,CH004,Southgate Property Partners,Norton-Jones,UB1 7JL,2025-05-11,2201.00,2025-05,f
POL-CH004-01059,CH004,Southgate Property Partners,Chadwick Inc,KT1 7HC,2025-05-03,2774.00,2025-05,f
POL-CH004-01060,CH004,Southgate Property Partners,"Bradshaw, Evans and Chamberlain",TN1 6NH,2025-05-14,2188.00,2025-05,f
POL-CH004-01126,CH004,Southgate Property Partners,Lewis-Woodward,BN1 9UO,2025-06-25,1443.00,2025-06,f
POL-CH004-01127,CH004,Southgate Property Partners,Davey-Hall,SS1 6QQ,2025-06-17,2027.00,2025-06,f
POL-CH004-01128,CH004,Southgate Property Partners,"Norris, Wright and Smith",ME1 4JO,2025-06-24,1515.00,2025-06,f
POL-CH004-01129,CH004,Southgate Property Partners,Pugh-Reed,GU1 3GI,2025-06-04,2392.00,2025-06,f
POL-CH004-01130,CH004,Southgate Property Partners,"Brown, Wallace and Green",SW6 3BO,2025-06-20,1334.00,2025-06,f
POL-CH004-01131,CH004,Southgate Property Partners,Briggs LLC,KT2 8OB,2025-06-25,1588.00,2025-06,f
POL-CH004-01132,CH004,Southgate Property Partners,"Robinson, Nash and Barton",SG1 6RN,2025-06-22,2133.00,2025-06,f
POL-CH004-01135,CH004,Southgate Property Partners,Richards PLC,AL1 8WY,2025-06-12,1877.00,2025-06,f
POL-CH004-01133,CH004,Southgate Property Partners,Saunders LLC,TW1 8WZ,2025-06-05,1062.00,2025-06,f
POL-CH004-01134,CH004,Southgate Property Partners,Yates-Bradley,OX1 1EN,2025-06-21,1941.00,2025-06,f
POL-CH004-01125,CH004,Southgate Property Partners,Murphy and Sons,SM1 6BQ,2025-06-10,1826.00,2025-06,f
